question_id,content,options,answer,skill_id_list,difficulty
Chg1_Q1_MCQ,"Theo giáo trình, E-Business (Kinh doanh điện tử) có phạm vi như thế nào so với E-Commerce (Thương mại điện tử)?","[""A. E-Business hẹp hơn E-Commerce"",""B. E-Business rộng hơn E-Commerce"",""C. E-Business và E-Commerce là một"",""D. E-Business không liên quan E-Commerce""]",B,"[""1.1_DinhNghia_EC_EB""]",easy
Chg1_Q6_MCQ,"Hoạt động nào sau đây thuộc về E-Business nhưng KHÔNG phải là E-Commerce?","[""A. Khách hàng đặt mua sách qua website"",""B. Doanh nghiệp sử dụng hệ thống CRM để quản lý khách hàng"",""C. Khách hàng chuyển khoản thanh toán online"",""D. Doanh nghiệp A mua hàng từ doanh nghiệp B qua sàn TMĐT""]",B,"[""1.1_DinhNghia_EC_EB""]",medium
Chg1_Q2_MCQ,"Đâu là khác biệt chính về ""Phạm vi Thị trường"" giữa TMĐT và TMTT?","[""A. TMTT có phạm vi toàn cầu, TMĐT bị giới hạn địa lý"",""B. Cả hai đều có phạm vi toàn cầu"",""C. TMĐT có khả năng tiếp cận thị trường toàn cầu, TMTT thường bị giới hạn địa lý"",""D. Cả hai đều bị giới hạn địa lý""]",C,"[""1.2_KhacBiet_EC_TT""]",easy
Chg1_Q7_MCQ,"Khác biệt về ""Thời gian hoạt động"" giữa cửa hàng TMĐT và cửa hàng TMTT là gì?","[""A. Cả hai đều hoạt động 24/7"",""B. TMĐT hoạt động 24/7, TMTT bị giới hạn theo giờ hành chính/giờ mở cửa"",""C. TMTT hoạt động 24/7, TMĐT bị giới hạn"",""D. Cả hai đều bị giới hạn""]",B,"[""1.2_KhacBiet_EC_TT""]",easy
Chg1_Q3_MCQ,"Mô hình nào mô tả giao dịch giữa các doanh nghiệp với nhau, thường có giá trị lớn và quy trình phức tạp?","[""A. B2C (Doanh nghiệp - Người tiêu dùng)"",""B. C2C (Người tiêu dùng - Người tiêu dùng)"",""C. B2B (Doanh nghiệp - Doanh nghiệp)"",""D. G2C (Chính phủ - Công dân)""]",C,"[""1.3_CacMoHinhCoBan""]",easy
Chg1_Q8_MCQ,"Một cá nhân bán lại điện thoại cũ của mình cho một người khác trên diễn đàn Chotot.com là ví dụ của mô hình nào?","[""A. B2C"",""B. C2C"",""C. B2B"",""D. C2B""]",B,"[""1.3_CacMoHinhCoBan""]",easy
Chg1_Q9_MCQ,"Việc công dân nộp thuế cá nhân qua cổng Dịch vụ công Quốc gia là ví dụ của mô hình nào?","[""A. G2C (Chính phủ - Công dân)"",""B. C2G (Công dân - Chính phủ)"",""C. B2G (Doanh nghiệp - Chính phủ)"",""D. B2C (Doanh nghiệp - Công dân)""]",B,"[""1.3_CacMoHinhCoBan""]",medium
Chg1_Q4_MCQ,"Lợi ích nào sau đây thể hiện đúng vai trò của TMĐT đối với doanh nghiệp?","[""A. Dễ dàng mở rộng thị trường và tiết kiệm chi phí vận hành"",""B. Doanh nghiệp không cần quản lý kho hàng"",""C. Không cần đầu tư vào marketing"",""D. TMĐT giúp loại bỏ hoàn toàn rủi ro gian lận"" ]",A,"[""1.4_LoiIch_HanChe""]",medium
Chg1_Q10_MCQ,"Lợi ích nào sau đây là lớn nhất của TMĐT đối với NGƯỜI TIÊU DÙNG?","[""A. Có thể chạm vào sản phẩm"",""B. Giảm rủi ro bảo mật thông tin"",""C. Tiện lợi, mua sắm 24/7 và so sánh giá dễ dàng"",""D. Không cần chờ đợi vận chuyển""]",C,"[""1.4_LoiIch_HanChe""]",easy
Chg1_Q11_MCQ,"Hạn chế nào sau đây được xem là rào cản lớn nhất khiến người tiêu dùng ngần ngại khi tham gia TMĐT?","[""A. Mất thời gian chờ giao hàng"",""B. Lo ngại về an toàn, bảo mật thông tin cá nhân và tài chính"",""C. Giá sản phẩm quá rẻ"",""D. Phải đăng ký tài khoản""]",B,"[""1.4_LoiIch_HanChe""]",medium
Chg1_Q5_MCQ,"Nhân tố nào sau đây ảnh hưởng TRỰC TIẾP đến khả năng thành công của một giao dịch TMĐT?","[""A. Website tải chậm và ít thông tin sản phẩm"",""B. Hệ thống thanh toán an toàn, rõ ràng và minh bạch"",""C. Giá sản phẩm càng cao càng tốt"",""D. Không cần chăm sóc khách hàng"" ]",B,"[""1.5_NhanToThanhCong""]",medium
