Question_ID,Skill_ID_List,Content,Options,Answer,Difficulty,Explanation
"Q1.001","1.1_TongQuan","Dữ liệu thô là?","['A. Dữ liệu đã được xử lý và có ý nghĩa', 'B. Dữ liệu mang tính tổng hợp và suy luận', 'C. Các sự kiện, con số, ký hiệu chưa được xử lý', 'D. Các bảng thông tin trong Excel']","C","Medium",""
"Q1.002","1.1_TongQuan","Ví dụ nào dưới đây là dữ liệu thô?","['A. “Sinh viên A đạt 8.5 môn Toán”', 'B. “25.000”, “áo thun”, “Hà Nội”', 'C. “Dựa trên điểm số để đánh giá xu hướng học tập”', 'D. “Báo cáo học tập năm 2024”']","B","Medium",""
"Q1.003","1.1_TongQuan","Thông tin là:","['A. Dữ liệu thô chưa được tổ chức', 'B. Các tri thức chuyên sâu', 'C. Dữ liệu đã được xử lý, tổ chức và mang ý nghĩa', 'D. Các quan điểm cá nhân']","C","Medium",""
"Q1.004","1.1_TongQuan","Ví dụ nào sau đây là tri thức?","['A. Số liệu bán hàng theo tháng', 'B. Phân tích xu hướng khách hàng và đề xuất hành động', 'C. Giá trị đơn chiếc của sản phẩm', 'D. Bảng thống kê doanh thu']","B","Medium",""
"Q1.005","1.1_TongQuan","Sự khác biệt giữa thông tin và tri thức nằm ở:","['A. Định dạng', 'B. Nguồn gốc dữ liệu', 'C. Mức độ xử lý và khả năng suy luận', 'D. Ngôn ngữ trình bày']","C","Medium",""
"Q1.006","1.1_TongQuan","Dữ liệu có cấu trúc thường được lưu trữ trong:","['A. File ảnh JPEG', 'B. Hệ thống cơ sở dữ liệu quan hệ', 'C. File video MP4', 'D. Bài viết trên mạng xã hội']","B","Medium",""
"Q1.007","1.1_TongQuan","Dữ liệu phi cấu trúc là:","['A. Dữ liệu có bảng, hàng, cột', 'B. Dữ liệu có thẻ XML rõ ràng', 'C. Văn bản tự do, video, hình ảnh', 'D. Tệp Excel']","C","Medium",""
"Q1.008","1.1_TongQuan","Ví dụ nào sau đây là dữ liệu bán cấu trúc?","['A. JSON, XML', 'B. Bảng tính Excel', 'C. Video TikTok', 'D. Bình luận YouTube']","A","Medium",""
"Q1.009","1.1_TongQuan","Điểm yếu của dữ liệu phi cấu trúc là:","['A. Không có giá trị', 'B. Rất khó truy xuất, phân tích', 'C. Không phổ biến trong môi trường số', 'D. Không có trong thực tế']","B","Medium",""
"Q1.010","1.1_TongQuan","Đặc điểm nào KHÔNG đúng với dữ liệu có cấu trúc?","['A. Dễ phân tích', 'B. Linh hoạt cao khi thay đổi', 'C. Lưu trữ dạng bảng', 'D. Tính nhất quán cao']","B","Medium",""
"Q1.011","1.1_TongQuan","“Velocity” trong mô hình 4V nói về:","['A. Tính phong phú của dữ liệu', 'B. Tốc độ sinh ra và xử lý dữ liệu', 'C. Sự chính xác của dữ liệu', 'D. Dung lượng ổ cứng']","B","Medium",""
"Q1.012","1.1_TongQuan","Dữ liệu từ mạng xã hội thường là ví dụ cho yếu tố nào?","['A. Veracity', 'B. Volume', 'C. Variety', 'D. Value']","C","Medium",""
"Q1.013","1.1_TongQuan","“Veracity” nghĩa là:","['A. Dữ liệu có khối lượng lớn', 'B. Dữ liệu đa dạng về định dạng', 'C. Độ chính xác và tin cậy của dữ liệu', 'D. Tốc độ lan truyền dữ liệu']","C","Medium",""
"Q1.014","1.1_TongQuan","Thách thức của “Volume” là gì?","['A. Không thể xử lý dữ liệu dạng văn bản', 'B. Dễ bị mất dữ liệu', 'C. Cần hệ thống lưu trữ mở rộng', 'D. Không thể chia sẻ dữ liệu']","C","Medium",""
"Q1.015","1.1_TongQuan","Một ví dụ của “Variety” là:","['A. Dữ liệu chỉ có văn bản', 'B. CSDL SQL', 'C. Video, hình ảnh, văn bản, cảm biến', 'D. Dữ liệu năm 2000']","C","Medium",""
"Q1.016","1.2_TimKiem","Kỹ năng “Đọc lướt” còn được gọi là:","['A. Scanning', 'B. Browsing', 'C. Skimming', 'D. Jumping']","C","Medium",""
"Q1.017","1.2_TimKiem","Khi đọc lướt, bạn nên đọc những phần nào?","['A. Câu đầu đoạn, tiêu đề, đoạn mở đầu và kết', 'B. Câu ngẫu nhiên', 'C. Từ cuối văn bản', 'D. Toàn bộ văn bản một lượt']","A","Medium",""
"Q1.018","1.2_TimKiem","Chiến lược duyệt trang web hiệu quả KHÔNG bao gồm:","['A. Xác định mục tiêu', 'B. Mở tất cả liên kết cùng lúc', 'C. Chọn nguồn phù hợp', 'D. Quan sát cấu trúc trang']","B","Medium",""
"Q1.019","1.3_KiemChung","Nguồn nào đáng tin cậy hơn?","['A. Blog không rõ tác giả', 'B. Trang .com quảng cáo', 'C. Tên miền .edu hoặc .gov', 'D. Trang mạng xã hội cá nhân']","C","Medium",""
"Q1.020","1.3_KiemChung","Một cách đánh giá nhanh độ tin cậy của trang là:","['A. Màu sắc nổi bật', 'B. Càng nhiều hình ảnh càng tốt', 'C. Có thông tin tác giả, ngày cập nhật', 'D. Đăng bởi người nổi tiếng']","C","Medium",""
